Mass Wall,Metal Wall,Roof,SlabEdge,Glass,Infil,LPD,EPD (0 1st$),MWh,kWh $,kW $,Util $,Addl 1st $,40yr LCS,40yr LCS 2%,LEED
E10,E30,R-25,"2"" Vert",SB70,0.1,0.5,1,593.734,21536,25913,48098,-8045,86456.689,151669.2856,6
E11,E30,R-25,"2"" Vert",SB70,0.1,0.5,1,589.543,21386,25599,47634,1680,93308.499,161463.6848,7
E12,E30,R-25,"2"" Vert",SB70,0.1,0.5,1,588.421,21346,25514,47509,3894,96267.774,165215.6832,7
E10,E31,R-25,"2"" Vert",SB70,0.1,0.5,1,595.482,21599,26065,48313,3378,96001.9415,159851.0539,6
E11,E31,R-25,"2"" Vert",SB70,0.1,0.5,1,591.359,21451,25792,47890,-12067,102052.6115,168584.2998,7
E12,E31,R-25,"2"" Vert",SB70,0.1,0.5,1,590.246,21411,25714,47772,-9852,104875.1065,172155.1257,7
E10,E32,R-25,"2"" Vert",SB70,0.1,0.5,1,594.48,21563,25984,48194,-10369,96414.6655,161018.4506,6
E11,E32,R-25,"2"" Vert",SB70,0.1,0.5,1,590.135,21408,25660,47717,-10154,103520.4955,171149.313,7
E12,E32,R-25,"2"" Vert",SB70,0.1,0.5,1,589.075,21370,25580,47600,-7939,106323.4505,174694.2571,7
E10,E30,R-30,"2"" Vert",SB70,0.1,0.5,1,583.784,21181,24914,46745,-8456,105571.301,179364.3355,7
E11,E30,R-30,"2"" Vert",SB70,0.1,0.5,1,579.329,21021,24566,46236,9003,113302.411,190323.4152,8
E12,E30,R-30,"2"" Vert",SB70,0.1,0.5,1,578.071,20976,24464,46089,11217,116691.566,194644.8129,8
E10,E31,R-30,"2"" Vert",SB70,0.1,0.5,1,585.456,21240,25103,46992,10701,114491.2735,186717.8866,7
E11,E31,R-30,"2"" Vert",SB70,0.1,0.5,1,581.197,21088,24773,46508,-4744,121733.8835,197029.9216,8
E12,E31,R-30,"2"" Vert",SB70,0.1,0.5,1,580.012,21045,24682,46376,-2529,124829.9385,200963.0925,8
E10,E32,R-30,"2"" Vert",SB70,0.1,0.5,1,584.333,21200,24972,46821,-3046,115920.0775,189231.1362,7
E11,E32,R-30,"2"" Vert",SB70,0.1,0.5,1,579.994,21045,24642,46335,-2831,123201.7675,199594.9347,8
E12,E32,R-30,"2"" Vert",SB70,0.1,0.5,1,578.749,21000,24543,46192,-616,126512.7625,203812.8053,8
E10,E30,R-25,"2"" Vert+Horiz",SB70,0.1,0.5,1,585.893,21258,25371,47278,-1133,100388.414,170801.276,7
E11,E30,R-25,"2"" Vert+Horiz",SB70,0.1,0.5,1,581.265,21093,25035,46778,3771,107943.664,181527.4196,7
E12,E30,R-25,"2"" Vert+Horiz",SB70,0.1,0.5,1,580.201,21055,24958,46662,5985,110727.079,185046.4819,8
E10,E31,R-25,"2"" Vert+Horiz",SB70,0.1,0.5,1,587.324,21309,25563,47520,5469,109406.0865,178284.236,7
E11,E31,R-25,"2"" Vert+Horiz",SB70,0.1,0.5,1,583.055,21157,25232,47035,-9976,116668.2365,188622.1528,7
E12,E31,R-25,"2"" Vert+Horiz",SB70,0.1,0.5,1,581.99,21119,25148,46914,-7761,119549.3515,192270.624,7
E10,E32,R-25,"2"" Vert+Horiz",SB70,0.1,0.5,1,586.383,21276,25436,47360,-8278,110619.9505,180512.786,7
E11,E32,R-25,"2"" Vert+Horiz",SB70,0.1,0.5,1,581.912,21116,25104,46867,-8063,118038.4205,191057.757,7
E12,E32,R-25,"2"" Vert+Horiz",SB70,0.1,0.5,1,580.792,21076,25015,46740,-5848,121036.7755,194861.519,7
E10,E30,R-30,"2"" Vert+Horiz",SB70,0.1,0.5,1,575.743,20896,24343,45889,-6365,120206.466,199428.0703,8
E11,E30,R-30,"2"" Vert+Horiz",SB70,0.1,0.5,1,571.777,20754,24031,45434,11094,126882.416,208989.5334,9
E12,E30,R-30,"2"" Vert+Horiz",SB70,0.1,0.5,1,570.844,20720,23958,45325,13308,129529.051,212327.4232,9
E10,E31,R-30,"2"" Vert+Horiz",SB70,0.1,0.5,1,577.475,20957,24539,46146,12792,128931.0385,206522.8035,8
E11,E31,R-30,"2"" Vert+Horiz",SB70,0.1,0.5,1,573.043,20799,24197,45642,-2653,136564.4485,217352.4742,8
E12,E31,R-30,"2"" Vert+Horiz",SB70,0.1,0.5,1,572.136,20766,24125,45540,-438,139074.3035,220509.1915,9
E10,E32,R-30,"2"" Vert+Horiz",SB70,0.1,0.5,1,576.369,20918,24416,45982,-955,130223.0625,208854.8806,8
E11,E32,R-30,"2"" Vert+Horiz",SB70,0.1,0.5,1,572.191,20768,24086,45501,-740,137407.0525,219089.2702,9
E12,E32,R-30,"2"" Vert+Horiz",SB70,0.1,0.5,1,571.303,20737,24013,45397,1475,139955.9875,222297.751,9
E10,E30,R-25,"2"" Vert",SB60,0.1,0.5,1,593.534,21534,25752,47936,958,98624.764,164864.7301,6
E11,E30,R-25,"2"" Vert",SB60,0.1,0.5,1,589.206,21379,25437,47466,-7323,105593.814,174814.4201,7
E12,E30,R-25,"2"" Vert",SB60,0.1,0.5,1,587.993,21336,25346,47331,-5108,108748.489,178825.2363,7
E10,E31,R-25,"2"" Vert",SB60,0.1,0.5,1,595.196,21594,25903,48144,-5625,108306.7965,173227.6709,6
E11,E31,R-25,"2"" Vert",SB60,0.1,0.5,1,590.926,21441,25624,47712,-21069,114533.3265,182193.8529,7
E12,E31,R-25,"2"" Vert",SB60,0.1,0.5,1,589.761,21399,25539,47587,-18855,117492.6015,185945.8513,7
E10,E32,R-25,"2"" Vert",SB60,0.1,0.5,1,594.202,21558,25816,48024,-19371,108739.0605,174420.9494,6
