Mass Wall,Metal Wall,Roof,SlabEdge,Glass,Infil,LPD,EPD (0 1st$),EUI,Util $,Addl 1st $,40yr LCS,LEED
E10,E30,R-25,"2"" Vert",SB70,0.1,0.5,1,77.46,48098,-8045,86456.689,6
E11,E30,R-25,"2"" Vert",SB70,0.1,0.5,1,76.91,47634,1680,93308.499,7
E12,E30,R-25,"2"" Vert",SB70,0.1,0.5,1,76.76,47509,3894,96267.774,7
E10,E31,R-25,"2"" Vert",SB70,0.1,0.5,1,77.69,48313,3378,96001.9415,6
E11,E31,R-25,"2"" Vert",SB70,0.1,0.5,1,77.15,47890,-12067,102052.6115,7
E12,E31,R-25,"2"" Vert",SB70,0.1,0.5,1,77.00,47772,-9852,104875.1065,7
E10,E32,R-25,"2"" Vert",SB70,0.1,0.5,1,77.55,48194,-10369,96414.6655,6
E11,E32,R-25,"2"" Vert",SB70,0.1,0.5,1,76.99,47717,-10154,103520.4955,7
E12,E32,R-25,"2"" Vert",SB70,0.1,0.5,1,76.85,47600,-7939,106323.4505,7
E10,E30,R-30,"2"" Vert",SB70,0.1,0.5,1,76.16,46745,-8456,105571.301,7
E11,E30,R-30,"2"" Vert",SB70,0.1,0.5,1,75.58,46236,9003,113302.411,8
E12,E30,R-30,"2"" Vert",SB70,0.1,0.5,1,75.41,46089,11217,116691.566,8
E10,E31,R-30,"2"" Vert",SB70,0.1,0.5,1,76.38,46992,10701,114491.2735,7
E11,E31,R-30,"2"" Vert",SB70,0.1,0.5,1,75.82,46508,-4744,121733.8835,8
E12,E31,R-30,"2"" Vert",SB70,0.1,0.5,1,75.67,46376,-2529,124829.9385,8
E10,E32,R-30,"2"" Vert",SB70,0.1,0.5,1,76.23,46821,-3046,115920.0775,7
E11,E32,R-30,"2"" Vert",SB70,0.1,0.5,1,75.66,46335,-2831,123201.7675,8
E12,E32,R-30,"2"" Vert",SB70,0.1,0.5,1,75.50,46192,-616,126512.7625,8
E10,E30,R-25,"2"" Vert+Horiz",SB70,0.1,0.5,1,76.43,47278,-1133,100388.414,7
E11,E30,R-25,"2"" Vert+Horiz",SB70,0.1,0.5,1,75.83,46778,3771,107943.664,7
E12,E30,R-25,"2"" Vert+Horiz",SB70,0.1,0.5,1,75.69,46662,5985,110727.079,8
E10,E31,R-25,"2"" Vert+Horiz",SB70,0.1,0.5,1,76.62,47520,5469,109406.0865,7
E11,E31,R-25,"2"" Vert+Horiz",SB70,0.1,0.5,1,76.06,47035,-9976,116668.2365,7
E12,E31,R-25,"2"" Vert+Horiz",SB70,0.1,0.5,1,75.93,46914,-7761,119549.3515,7
E10,E32,R-25,"2"" Vert+Horiz",SB70,0.1,0.5,1,76.50,47360,-8278,110619.9505,7
E11,E32,R-25,"2"" Vert+Horiz",SB70,0.1,0.5,1,75.92,46867,-8063,118038.4205,7
E12,E32,R-25,"2"" Vert+Horiz",SB70,0.1,0.5,1,75.77,46740,-5848,121036.7755,7
E10,E30,R-30,"2"" Vert+Horiz",SB70,0.1,0.5,1,75.11,45889,-6365,120206.466,8
E11,E30,R-30,"2"" Vert+Horiz",SB70,0.1,0.5,1,74.59,45434,11094,126882.416,9
E12,E30,R-30,"2"" Vert+Horiz",SB70,0.1,0.5,1,74.47,45325,13308,129529.051,9
E10,E31,R-30,"2"" Vert+Horiz",SB70,0.1,0.5,1,75.34,46146,12792,128931.0385,8
E11,E31,R-30,"2"" Vert+Horiz",SB70,0.1,0.5,1,74.76,45642,-2653,136564.4485,8
E12,E31,R-30,"2"" Vert+Horiz",SB70,0.1,0.5,1,74.64,45540,-438,139074.3035,9
E10,E32,R-30,"2"" Vert+Horiz",SB70,0.1,0.5,1,75.19,45982,-955,130223.0625,8
E11,E32,R-30,"2"" Vert+Horiz",SB70,0.1,0.5,1,74.65,45501,-740,137407.0525,9
E12,E32,R-30,"2"" Vert+Horiz",SB70,0.1,0.5,1,74.53,45397,1475,139955.9875,9
E10,E30,R-25,"2"" Vert",SB60,0.1,0.5,1,77.43,47936,958,98624.764,6
E11,E30,R-25,"2"" Vert",SB60,0.1,0.5,1,76.87,47466,-7323,105593.814,7
E12,E30,R-25,"2"" Vert",SB60,0.1,0.5,1,76.71,47331,-5108,108748.489,7
E10,E31,R-25,"2"" Vert",SB60,0.1,0.5,1,77.65,48144,-5625,108306.7965,6
E11,E31,R-25,"2"" Vert",SB60,0.1,0.5,1,77.09,47712,-21069,114533.3265,7
E12,E31,R-25,"2"" Vert",SB60,0.1,0.5,1,76.94,47587,-18855,117492.6015,7
E10,E32,R-25,"2"" Vert",SB60,0.1,0.5,1,77.52,48024,-19371,108739.0605,6
E11,E32,R-25,"2"" Vert",SB60,0.1,0.5,1,76.94,47543,-19157,115923.0505,7
E12,E32,R-25,"2"" Vert",SB60,0.1,0.5,1,76.79,47417,-16942,118901.8655,7
E10,E30,R-30,"2"" Vert",SB60,0.1,0.5,1,76.16,46578,-17459,117837.076,8
E11,E30,R-30,"2"" Vert",SB60,0.1,0.5,1,75.58,46082,0,125314.166,8
E12,E30,R-30,"2"" Vert",SB60,0.1,0.5,1,75.41,45939,2215,128625.161,8
E10,E31,R-30,"2"" Vert",SB60,0.1,0.5,1,76.38,46833,1698,126600.7285,7
